pod,average_value,framework
cluster-netmanager-7d98656bc5-q8ng6,78918666.20598006,oakestra
mongo-5759468d74-75wk2,148434345.24916944,oakestra
mosquitto-559ccc5d46-hvrpf,1494713.4086378738,oakestra
node-netmanager-4p4h5,25668257.59468439,oakestra
node-netmanager-9k4lg,27305546.27685493,oakestra
node-netmanager-r2qv7,28766552.73532669,oakestra
node-netmanager-r5kn2,27358095.734219268,oakestra
node-netmanager-rww47,27909468.13732004,oakestra
node-netmanager-zmlln,26040721.43521595,oakestra
oakestra-agent,15706510.618019655,oakestra
oakestra-controller-manager-d74f6ddf5-rh89f,38976492.72203765,oakestra
klusterlet-84c5d6fd77-rzx2j,53992932.21705427,ocm
klusterlet-registration-agent-84bc7c6b5c-rtrnl,45973608.32779623,ocm
klusterlet-work-agent-846989bd45-82vkw,56553553.64784053,ocm
karmada-agent-f95c4fdc6-p88cd,50810548.87264673,karmada
